T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.311665,0.6295386,7.033946,0.08912324,12.47261,0.001806396,1.309859,2.755356e-06,0.6295358,0.2855909,0.0,0.1279043,1.024268,0.6295358,1.811837,1.627021,0.7748674
25.0,1.71733,0.5486845,7.098802,0.08479491,12.47261,0.001718665,1.715611,2.621485e-06,0.5486819,0.8228946,0.0,0.111477,0.8927167,0.5486819,1.579135,1.627021,0.6753479
25.0,1.065229,0.6002957,7.182514,0.09691793,12.47261,0.001964383,1.063265,2.996363e-06,0.6002927,0.08657605,0.0,0.1219629,0.9766886,0.6002927,1.727674,1.627021,0.7388734
25.0,1.545807,0.6249484,8.012365,0.102669,12.47261,0.002080946,1.543726,3.174076e-06,0.6249452,0.5269273,0.0,0.1269716,1.016799,0.6249452,1.798625,1.627021,0.769217
25.0,1.788655,0.2683408,6.899748,0.0862459,12.47261,0.001748046,1.786907,2.666407e-06,0.2683381,1.350315,0.0,0.05451889,0.4365916,0.2683381,0.7722911,1.62702,0.3302854
25.0,1.440895,0.6363291,3.953633,0.03100392,12.47261,0.000628403,1.440267,9.585261e-07,0.6363281,0.4049477,0.0,0.1292843,1.035319,0.6363281,1.831385,1.627021,0.7832277
25.0,1.009221,0.4972147,6.927453,0.09565197,12.47261,0.001938724,1.007282,2.95723e-06,0.4972117,0.1983086,0.0,0.1010197,0.8089737,0.4972117,1.431001,1.627021,0.6119956
25.0,1.254014,0.2143877,7.327247,0.1048416,12.47261,0.002124947,1.251889,3.241316e-06,0.2143845,0.9030811,0.0,0.04355699,0.3488079,0.2143845,0.6170096,1.627021,0.2638762
25.0,1.306071,0.6954621,3.456307,0.0231209,12.47261,0.0004686259,1.305602,7.148125e-07,0.6954614,0.1740724,0.0,0.1412985,1.13153,0.6954614,2.001574,1.627021,0.8560122
25.0,0.9915052,0.2663514,7.710888,0.1153373,12.47261,0.002337716,0.9891675,3.565801e-06,0.2663478,0.5558141,0.0,0.05411452,0.4333534,0.2663478,0.7665629,1.627021,0.3278356
25.0,1.758728,0.3081321,7.600776,0.09854823,12.47261,0.001997416,1.756731,3.046746e-06,0.3081291,1.255398,0.0,0.06260331,0.5013323,0.3081291,0.8868115,1.627021,0.3792622
25.0,1.428286,0.3284425,7.599593,0.1040359,12.47261,0.002108609,1.426177,3.216407e-06,0.3284393,0.8918,0.0,0.06672978,0.5343774,0.3284393,0.9452653,1.62702,0.4042612
25.0,1.477328,0.5471857,8.166684,0.1084498,12.47261,0.002198115,1.47513,3.352862e-06,0.5471823,0.584853,0.0,0.1111723,0.8902769,0.5471823,1.574819,1.627021,0.6735022
25.0,0.8891252,0.3644661,3.2067,0.03362171,12.47261,0.0006814616,0.8884437,1.039462e-06,0.3644651,0.2954516,0.0,0.07404922,0.5929921,0.3644651,1.048949,1.62702,0.4486037
25.0,1.746495,0.6351266,4.055133,0.02734496,12.47261,0.0005542412,1.745941,8.454056e-07,0.6351258,0.7125781,0.0,0.12904,1.033363,0.6351258,1.827925,1.627021,0.7817478
25.0,1.614751,0.5542804,7.717654,0.09769787,12.47261,0.00198019,1.612771,3.020458e-06,0.5542774,0.7109501,0.0,0.1126138,0.9018207,0.5542774,1.595239,1.627021,0.6822352
25.0,0.9947709,0.2554262,3.146028,0.03308162,12.47261,0.0006705021,0.9941004,1.022762e-06,0.2554252,0.5785184,0.0,0.05189533,0.415582,0.2554252,0.7351269,1.62702,0.3143914
25.0,0.7399532,0.211034,5.949683,0.08932211,12.47261,0.001810409,0.7381428,2.761513e-06,0.2110312,0.3947907,0.0,0.04287571,0.3433521,0.2110312,0.6073588,1.62702,0.2597489
25.0,1.386367,0.4494843,6.811201,0.08781941,12.47261,0.001779963,1.384587,2.71484e-06,0.4494816,0.6532713,0.0,0.09132223,0.7313158,0.4494816,1.293631,1.627021,0.5532467
